joblistify.com,4,uncategorized,10.0,17.0,16.0,0.0,0.0,1.0,0.0,0.0,492770.0,278148.0,256787.0,0.0,0.0,41168.0,0.0,0.0,20762.0,39537.5,27051.0,0.0,0.0,644.5,0.0,0.0,10.0,17.0,16.0,0.0,0.0,1.0,0.0,0.0,492770.0,278148.0,256787.0,0.0,0.0,41168.0,0.0,0.0,20762.0,39537.5,27051.0,0.0,0.0,644.5,0.0,0.0,15095.0,1374819.0,51.0,8934.0,101930.0,4.0,7.0,5.0,305784.0
aarp.org,1,education,137,113,5,0,1,32,7,0,822244,7282105,567220,0,0,825987,156549,0,32946,50502,561,0,1006,6682,4959,0,136,112,4,0,1,31,6,0,819511,7282015,68726,0,0,512103,156322,0,32803,50450,494,0,1006,6634,3239,0,10285,10091012,367,64739,3245726,89,95,20,436907
ahsunachatdesign.net,4,uncategorized,5.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,31599.0,945245.0,0.0,0.0,0.0,22649.0,0.0,0.0,7226.0,10007.5,0.0,0.0,0.0,7605.5,0.0,0.0,5.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,31599.0,945245.0,0.0,0.0,0.0,21206.0,0.0,0.0,7226.0,10007.5,0.0,0.0,0.0,6704.0,0.0,0.0,4483.0,999567.5,22.0,10470.0,363509.0,8.0,11.0,0.0,0.0
billingsgazette.com,4,uncategorized,5.0,17.0,9.0,0.0,0.0,1.0,0.0,0.0,38364.0,604671.0,303256.0,0.0,0.0,426885.5,0.0,0.0,17686.5,44160.0,20533.0,0.0,0.0,752.0,0.0,0.0,5.0,17.0,8.0,0.0,0.0,1.0,0.0,0.0,38364.0,604671.0,191826.0,0.0,0.0,426885.5,0.0,0.0,17686.5,44160.0,18776.5,0.0,0.0,752.0,0.0,0.0,7781.0,1373263.0,34.0,17909.0,345839.0,7.0,11.0,0.0,0.0
teamliquid.net,4,games,67.5,24.0,3.0,0.0,0.0,7.0,3.0,0.0,443640.5,738628.5,110366.0,0.0,0.0,256801.5,23395.5,0.0,97026.0,18083.5,2024.0,0.0,0.0,1545.5,1874.0,0.0,67.5,24.0,3.0,0.0,0.0,6.0,3.0,0.0,443640.5,738628.5,110366.0,0.0,0.0,146319.0,23395.5,0.0,97026.0,18083.5,2024.0,0.0,0.0,1123.5,1874.0,0.0,13938.0,1673692.5,123.5,66411.5,758273.5,32.5,34.5,7.0,67869.0
dreamincode.net,4,informationtech,108,100,10,0,0,30,4,2,249948,6873790,541730,0,0,383571,4616,1831136,117017,23940,6051,0,0,9580,1007,759,108,100,9,0,0,29,4,2,249948,6873790,532586,0,0,325433,4616,1831136,117017,23940,1372,0,0,9401,1007,759,10442,10734261,304,38079,3938772,73,76,21,848458
arealme.com,3,entertainment,46.0,4.5,1.0,0.0,0.0,3.5,0.0,0.0,3019063.5,517105.5,24811.0,0.0,0.0,585990.5,0.0,0.0,211571.5,5324.0,426.5,0.0,0.0,5031.0,0.0,0.0,46.0,4.5,1.0,0.0,0.0,3.5,0.0,0.0,3019063.5,517105.5,24811.0,0.0,0.0,585990.5,0.0,0.0,211571.5,5324.0,426.5,0.0,0.0,5031.0,0.0,0.0,29695.0,4195694.5,57.0,13101.5,349270.0,6.5,8.5,0.0,0.0
uniquecontributions.com,4,uncategorized,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6282.0,0.0,0.0,0.0,0.0,7562.0,0.0,0.0,1909.5,0.0,0.0,0.0,0.0,571.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.5,13844.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
apple.com,1,shopping,21,6,6,0,0,1,1,0,713935,783750,359234,0,0,36753,137,0,64970,8917,5881,0,0,551,5529,0,21,6,5,0,0,0,1,0,713935,783750,242380,0,0,0,137,0,64970,8917,4236,0,0,0,5529,0,24418,2309288,40,0,0,0,4,5,397716
thestranger.com,3,newsandmedia,52,21,2,0,0,3,0,0,4678170,1385585,294306,0,0,174340,0,0,138016,30146,2238,0,0,8023,0,0,50,21,1,0,0,2,0,0,4556633,1385585,23739,0,0,66928,0,0,132698,30146,922,0,0,6265,0,0,9878,6899909,90,36210,1114938,24,29,10,336604
